kind,group,id,name_zh,path,bytes,sha256,native_name_matches,native_check
native_asset_package,GoodsKit,goods_pigment_pots,颜料罐组,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_pigment_pots/goods_pigment_pots.uasset,112723,26739f748a15ef6c7f6f189cc99c203f21e28149c95c0086ef81570b42a4c1bf,,
native_asset_package,GoodsKit,GK_Clay_Cut,GK_Clay_Cut,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_raw_clay_basket/GK_Clay_Cut.uasset,21357,6602c28877f08e23d38e44e988a7249014611fe38fbb1a50c269340c165a4810,,
native_asset_package,GoodsKit,GK_Golden_Wicker,GK_Golden_Wicker,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_raw_clay_basket/GK_Golden_Wicker.uasset,21412,600109c889c2367c1858ca84106ec387e9958837fb27e0c63e3db90b9113e827,,
native_asset_package,GoodsKit,GK_Hemp_Rope,GK_Hemp_Rope,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_raw_clay_basket/GK_Hemp_Rope.uasset,21368,ed2a8300745c7b48dc41dd76792619680c3e034381568adc4ea1db73fcf84a38,,
native_asset_package,GoodsKit,GK_Raw_Clay,GK_Raw_Clay,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_raw_clay_basket/GK_Raw_Clay.uasset,21357,51718fd6d2c1819b65ecdb9bbb10a6249c6355fa0d2f4b664409be5ec0f7d8d9,,
native_asset_package,GoodsKit,GK_Wicker_Weave,GK_Wicker_Weave,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_raw_clay_basket/GK_Wicker_Weave.uasset,21401,ca6ca91f555dde4c6b9982bb3650de41ef1acaa7197faf20cad6b2e74ecceebb,,
native_asset_package,GoodsKit,goods_raw_clay_basket,黏土篮,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_raw_clay_basket/goods_raw_clay_basket.uasset,71365,028efff7ceab777d2a6aaec23807aee268cb7883f0bf901fbcd6f1209925a1df,,
native_asset_package,GoodsKit,GK_Cream_Label,GK_Cream_Label,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/GK_Cream_Label.uasset,21456,57e839ebec64acfcc1b3595064d887275805974fe498f5576d7d63d898ca4975,,
native_asset_package,GoodsKit,GK_Cut_Edge,GK_Cut_Edge,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/GK_Cut_Edge.uasset,21423,c025f9070dd04e5eeef01f323a42a5f05ffb4e257d4c68e48b3dffcb8b8f77ef,,
native_asset_package,GoodsKit,GK_Honey_Plank,GK_Honey_Plank,ThreeHearthsVillage/Content/ThreeHearths/Generated/GoodsKit/goods_tiles_slateblue_crate/GK_Honey_Plank.uasset,21456,f76e77e36d494816eea7ce846f49dfe104245408ef4dc4f459dd2c10e336938e,,
